CHATGPT SAID:,1
MA49410,1
MA49941,1
MA49819,1
MA49500,1
MA49740,1
MA49274,1
MA50656,1
MA48942,1
MA50821,1
MA49757,1
MA49397,1
MA49628,1
MA49999,1
MA49578,1
MA48976,1
MA48604,1
MA49668,1
MA50363,1
MA49168,1
MA49044,1
MA47122,1
MA49223,1
MA47916,1
MA49447,1
MA49643,1
MA48093,1
MA49423,1
MA49010,1
MA48947,1
MA49093,1
MA48676,1
MA49046,1
MA49570,1
MA49523,1
MA49157,1
MA49185,1
MA49618,1
MA48999,1
MA49769,1
MA49216,1
MA48962,1
MA49454,1
MA48758,1
MA49692,1
MA49369,1
MA48652,1
MA49113,1
MA49360,1
MA49009,1
MA49099,1
MA49145,1
MA49474,1
MA48563,1
MA49439,1
MA49104,1
MA48889,1
MA49351,1
