MA49964,1
MA49444,1
MA50618,1
MA49684,1
MA48056,1
MA46700,1
MA48612,1
MA49876,1
MA49891,1
MA49620,1
MA47329,1
MA45580,1
MA48584,1
MA49376,1
MA47973,1
MA49384,1
MA49604,1
MA49026,1
MA48772,1
MA49610,1
MA48648,1
MA48516,1
MA49209,1
MA48683,1
MA48483,1
MA46077,1
MA49730,1
MA49502,1
MA49642,1
MA49303,1
MA48967,1
MA49233,1
MA48239,1
MA49111,1
MA48643,1
MA49532,1
MA48333,1
MA48486,1
MA47831,1
MA50241,1
MA49631,1
MA49199,1
MA47680,1
MA49812,1
MA47799,1
MA49249,1
MA49436,1
MA48100,1
MA48811,1
MA48337,1
MA48402,1
MA47197,1
MA49013,1
MA48488,1
MA49245,1
MA48091,1
MA49765,1
MA49754,1
MA48000,1
MA49796,1
MA48450,1
